EL COLMADO,'Calle Iturralde y Suit, 24, 31004 Pamplona, Navarre, Spain',42.8114499,-1.6336809
EL CORTE INGLÉS,'Calle Estella, 9, 31002 Pamplona, Navarre, Spain',42.8139004,-1.645389
EL GOLOSO BARRA BRAVA,'Calle Aoiz, 12, 31004 Pamplona, Navarre, Spain',42.8099306,-1.6339074
EL PERRO VERDE,'Calle Tafalla, 14, 31004 Pamplona, Navarre, Spain',42.8122614,-1.6373515
EL SUPER DE LA REPARACIÓN Y EL MENAJE. ELECTRODOM.,'Calle Paulino Caballero, 14, 31003 Pamplona, Navarre, Spain',42.8122364,-1.6397095
ELVIRA BLANCO,'Calle Iturralde y Suit, 15, 31004 Pamplona, Navarre, Spain',42.8105601,-1.6348182
ENZO BARI,'Calle García Ximénez, 4, 31002 Pamplona, Navarre, Spain',42.8138782,-1.6436276
ESTACIÓN DE SERVICIO LEZKAIRU,'Carretera Badostáin, 2, 31006 Pamplona, Navarre, Spain',42.8139495,-1.6272801
EVERS,'Calle Tafalla, 16, 31004 Pamplona, Navarre, Spain',42.8121971,-1.6374584
FACIAL CLINIQUE PAMPLONA,'Calle de Francisco Bergamin Kalea, 6, 31003 Pamplona, Navarre, Spain',42.8122045,-1.6410428
FARMACIA BASARTE,'Avenida Carlos III, 63, 31004 Pamplona, Navarre, Spain',42.8109361,-1.6365262
FARMACIA LOURDES ARRECHEA,'Avenida Conde Oliveto, 1, 31003 Pamplona, Navarre, Spain',42.8126781,-1.6435
FARMACIA SIMÓN,'Nafarroa Behereko Etorbidea, 11, 31002 Pamplona, Navarre, Spain',42.8134667,-1.6380459
FARMACIA VENTURA,'Calle Tafalla, 21, 31003 Pamplona, Navarre, Spain',42.8114652,-1.6383606
FAUNAPARAÍSO,'Bergamín, 33, 31003 Pamplona, Navarre, Spain',42.81052,-1.6389266
FERRAZ,'Calle Estella, 6, 31002 Pamplona, Navarre, Spain',42.8143233,-1.644466
FERRETERÍA GUIBERT,'Plaza de las Merindades, 2, 31002 Pamplona, Navarre, Spain',42.8134274,-1.6389207
FIDELTRONIC,'C/ Navarro Villoslada, 1-BIS, 31003 Pamplona, Navarre, Spain',42.8126949,-1.6397259
FIDELTRONIC-TIEN 21,'Calle de Francisco Bergamin Kalea, 37, 31003 Pamplona, Navarre, Spain',42.8100148,-1.6383441
FISIO MÉDICA ACTUAL,'Calle Amaya, 21, 31004 Pamplona, Navarre, Spain',42.8116751,-1.6360854
FLORISTERÍA EL ÁRBOL,'Calle Paulino Caballero, 44, 31004 Pamplona, Navarre, Spain',42.8097994,-1.6369971
FLORISTERÍA SAN FERMÍN,'Avenida Galicia, 1, 31003 Pamplona, Navarre, Spain',42.8097033,-1.6424332
FOTO ESTUDIO TURGEL,'Calle Felipe Gorriti, 26, 31003 Pamplona, Navarre, Spain',42.811103,-1.6376265
