JOYERÍA RELOJERÍA JESÚS GARCÍA	AVDA. BAJA NAVARRA 15, 31002 JOYERÍA RELOJERÍA JESÚS GARCÍA
JOYERÍA RUBÍ BASIC	AVDA. SAN IGNACIO 11, 31002 JOYERÍA RUBÍ BASIC
KERACONTACT - CENTRO NAVARRO DE LENTES DE CONTACTO	PZA. BLANCA DE NAVARRA 10, 31004 KERACONTACT - CENTRO NAVARRO DE LENTES DE CONTACTO
KIDE	C/ TAFALLA 33, 31003 KIDE
KILO ROPA	C/ TEOBALDOS 2, 31002 KILO ROPA
KOALA	C/ PAULINO CABALLERO 29, 31003 KOALA
LA BARBERÍA DE MAITE ARBEA	C/ ITURRALDE Y SUIT 1, 31004 LA BARBERÍA DE MAITE ARBEA
LA CASA DE LOS QUESOS	AVDA. CARLOS III 51 (ENTRADA  C/TAFALLA 15), 31004 LA CASA DE LOS QUESOS
LA HELADERÍA DE EL OBRADOR	PZA. PRÍNCIPE DE VIANA 4, 31003 LA HELADERÍA DE EL OBRADOR
LA MAR SALADA	C/ LEYRE 12, 31002 LA MAR SALADA
LA SILLA	C/ OLITE 4, 31002 LA SILLA
LANERA NAVARRA	C/ TAFALLA 14, 31004 LANERA NAVARRA
LAZARAU	C/ SAN FERMÍN 14 - ENTREPLANTA, 31003 LAZARAU
LE CARROUSEL	C/ SANGÜESA 4, 31003 LE CARROUSEL
LEONCE	C/ CASTILLO DE MAYA 44, 31003 LEONCE
LIBRERÍA EL PARNASILLO	C/ CASTILLO DE MAYA 45, 31003 LIBRERÍA EL PARNASILLO
LIBRERÍA WALDEN	C/ PAULINO CABALLERO 31, 31003 LIBRERÍA WALDEN
LOFT 47	C/ SAN FERMÍN 47, 31003 LOFT 47
LOLAS	C/ BERGAMÍN 15, 31003 LOLAS
M.2	AVDA. CARLOS III 48, 31004 M.2
MARIAN LÍNEA ÍNTIMA	C/ TAFALLA 14, 31004 MARIAN LÍNEA ÍNTIMA
