"ÓPTICA JULIO EZPELETA","42.8138782","-1.6436276"
"ÓPTICA NAVARRA","42.8100156","-1.641463"
"ÓPTICA VÍNCULO","42.8150658","-1.6450716"
"OPTILAB","42.8147217","-1.6394749"
"ORLA","42.8049504","-1.6630201"
"P. CHOCARRO","42.8118363","-1.6427441"
"PABLOOCHOA.SHOES","42.8121679","-1.6378986"
"PANADERÍA TABERNA","42.8136071","-1.6440869"
"PAPELERÍA SANCHO'S","42.8116556","-1.63529"
"PAPI, MAMI Y YO, 2.0","42.8107254","-1.639604"
"PASTELERÍA BARSAN","42.8121086","-1.637352"
"PASTELERÍA EL OBRADOR","42.8099306","-1.6339074"
"PASTELERÍA TORRANO","42.8110464","-1.636086"
"PEDALIER","42.811671","-1.6343372"
"PEDRO BUENO BOUTIQUE","42.8142568","-1.6432837"
"PEDRO BUENO JOYERO","42.8142568","-1.6432837"
"PELEGRIN JOYEROS","42.8123795","-1.6412288"
"PELETERÍA GROENLANDIA","42.8127748","-1.6418828"
"PERFUMERÍA GALLE I","42.8122583","-1.6379994"
"PERFUMERÍA GALLE II","42.813113","-1.6418156"
"PERFUMERÍA JULIA","42.8122157","-1.6384389"
"PIEDAD FIRMAS","42.8143721","-1.6388849"
"PLAN B","42.8114733","-1.6384048"
"PURROY DECORACIÓN","42.8124692","-1.6427849"
"RADIO FAR","42.8129216","-1.6437844"
"RAMÓN RUBIO JOYERO","42.8142568","-1.6432837"
"RECAMBIOS RYUM","42.810345","-1.6399836"
"RECREARTE","42.8141494","-1.6499891"
"RESTAURANTE ALHAMBRA","42.8126129","-1.6412187"
"RESTAURANTE EL MERCAO","42.8131572","-1.6355563"
"RESTAURANTE ENEKORRI","42.8077707","-1.6732487"
"RESTAURANTE SÍBARIS","42.8082107","-1.6336173"
"SABOYA HOMBRE","42.8108461","-1.6432515"
"SABOYA MUJER","42.8116503","-1.6431022"
"SAIDE CARLOS III","42.8146565","-1.6427397"
"SAIDE OLITE","42.8105315","-1.633716"
"SALÓN DE BELLEZA GLORIA","42.8142568","-1.6432837"
"SANTIVERI","42.8146988","-1.6407178"
"SENSEBENE","42.8119569","-1.6335743"
"SKINC","42.8109971","-1.6361663"
"SKUNKFUNK","42.8150927","-1.6390138"
"STORE STEAM","42.8113426","-1.6422094"
"SUKOT","42.812724","-1.6402439"
"TAPICERÍAS LOYSA","42.8134867","-1.6411239"
"THE BODY SHOP","42.8109361","-1.6365262"
"TIEMPO BADABUM","42.8108655","-1.6313686"
"TIPI","42.8146988","-1.6407178"
"TOCATEJA","42.8106071","-1.6376178"
"TODOCARTUCHO","42.8108702","-1.640905"
"TOUS","42.8138933","-1.6403239"
"TRES EN RAYA","42.8116138","-1.6418339"
"TURÓSOL","42.8106678","-1.6398669"
"ULLOA ÓPTICO","42.8135609","-1.6430971"
"VAPEOS","42.8099404","-1.6368929"
"VAPOR Y MÁS","42.8118023","-1.6364986"
"VENTANAS GORRITI","42.8116726","-1.6366865"
"VIAJES MARFIL","42.8146988","-1.6407178"
"VIAJES SARASATE","42.812251","-1.6386521"
"VILLA MIRANDA","42.8149611","-1.6441176"
"YVES ROCHER","42.8114608","-1.637337"
"ZAPATOS CARACOL","42.809711","-1.6369087"
"ZAPI","42.811912","-1.641269"
